listenedAt,precipitaProb,tMin,tMax,sunrise,sunset,day_length,isWorkDay,cloud_pct,temp,feels_like,humidity,wind_speed,music_valence,music_arousal,idWeatherType = Clear sky,idWeatherType = Partly cloudy,idWeatherType = Sunny intervals,idWeatherType = Rain and thunderstorms,idWeatherType = Cloudy,idWeatherType = Intermittent rain,idWeatherType = Intermittent heavy rain,idWeatherType = Hail,idWeatherType = Intermittent ligth rain,idWeatherType = Snow showers,idWeatherType = Snow,idWeatherType = Showers and thunderstorms,idWeatherType = Heavy showers/rain,idWeatherType = Light showers/rain,idWeatherType = Frost,idWeatherType = Convective clouds,idWeatherType = Drizzle,idWeatherType = No information,idWeatherType = Thunderstorms,idWeatherType = Showers/rain,idWeatherType = Rain/showers,idWeatherType = Rain and snow,idWeatherType = Cloudy (High cloud),idWeatherType = Mist,idWeatherType = Cloudy ,idWeatherType = Light rain,idWeatherType = Fog,idWeatherType = Heavy rain/showers,classWindSpeed = Moderate,classWindSpeed = Weak,classWindSpeed = Strong,classWindSpeed = Very,classPrecInt = No precipitation,classPrecInt = Weak,classPrecInt = Strong,classPrecInt = Moderate,timeOfDay = Afternoon,timeOfDay = Evening,timeOfDay = Morning,timeOfDay = Night,timeOfDay = Early Morning,initial_emotion = angry,initial_emotion = fear,initial_emotion = happy,initial_emotion = neutral,initial_emotion = sad,initial_emotion = surprise,initial_emotion = disgust,valence_last_emotion,arousal_last_emotion,valence_initial_emotion,arousal_initial_emotion
0.975,0.0,0.514,0.629,0.215,0.839,0.623,1,0.4,0.543,0.543,0.91,0.041,0.554,0.511,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.128,0.71,0.299,0.651
0.978,0.0,0.514,0.629,0.215,0.839,0.623,1,0.4,0.543,0.543,0.91,0.041,0.55,0.51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.6,0.558,0.299,0.651
0.028,0.0,0.5,0.657,0.216,0.839,0.622,1,1.0,0.543,0.557,0.87,0.082,0.56,0.545,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.711,0.532,0.497,0.501
0.031,0.0,0.5,0.657,0.216,0.839,0.622,1,1.0,0.543,0.557,0.87,0.082,0.562,0.506,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.269,0.66,0.497,0.501
0.457,0.0,0.514,0.643,0.217,0.838,0.622,1,0.4,0.6,0.614,0.72,0.062,0.6,0.472,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.711,0.54,0.16,0.508
0.662,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.59,0.089,0.58,0.562,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.705,0.55,0.5,0.5
0.671,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.59,0.089,0.568,0.552,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.571,0.7,0.5,0.5
0.697,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.63,0.096,0.548,0.51,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.313,0.688,0.174,0.506
0.7,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.63,0.096,0.448,0.501,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.29,0.463,0.174,0.506
0.703,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.63,0.096,0.48,0.506,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.324,0.449,0.174,0.506
0.706,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.63,0.096,0.594,0.513,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.53,0.725,0.174,0.506
0.709,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.63,0.096,0.637,0.542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.685,0.55,0.174,0.506
0.711,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.643,0.643,0.63,0.096,0.564,0.501,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.285,0.578,0.174,0.506
0.714,0.0,0.514,0.643,0.217,0.838,0.622,1,0.09,0.671,0.686,0.54,0.075,0.496,0.502,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.703,0.563,0.174,0.506
0.717,0.0,0.514,0.643,0.217,0.838,0.622,1,0.09,0.671,0.686,0.54,0.075,0.512,0.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.707,0.546,0.174,0.506
0.719,0.0,0.514,0.643,0.217,0.838,0.622,1,0.09,0.671,0.686,0.54,0.075,0.524,0.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.312,0.45,0.174,0.506
0.725,0.0,0.514,0.643,0.217,0.838,0.622,1,0.09,0.671,0.686,0.54,0.075,0.572,0.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.52,0.629,0.174,0.506
0.728,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.629,0.629,0.62,0.103,0.462,0.517,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.146,0.549,0.174,0.506
0.731,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.629,0.629,0.62,0.103,0.578,0.54,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.613,0.541,0.174,0.506
0.737,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.629,0.629,0.62,0.103,0.52,0.53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.356,0.719,0.174,0.506
0.74,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.629,0.629,0.62,0.103,0.534,0.548,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.19,0.609,0.174,0.506
0.767,0.0,0.514,0.643,0.217,0.838,0.622,1,0.2,0.614,0.614,0.67,0.082,0.631,0.542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.675,0.67,0.191,0.506
0.433,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.6,0.6,0.71,0.027,0.559,0.524,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.428,0.616,0.499,0.501
0.44,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.6,0.6,0.71,0.027,0.616,0.533,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.606,0.446,0.327,0.67
0.442,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.6,0.6,0.71,0.027,0.577,0.524,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.533,0.726,0.327,0.67
0.449,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.6,0.6,0.71,0.027,0.468,0.488,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.418,0.678,0.327,0.67
0.451,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.6,0.6,0.71,0.027,0.554,0.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.251,0.389,0.327,0.67
0.456,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.614,0.614,0.69,0.027,0.602,0.542,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.436,0.632,0.327,0.67
0.459,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.614,0.614,0.69,0.027,0.509,0.503,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.311,0.299,0.327,0.67
0.462,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.614,0.614,0.69,0.027,0.583,0.536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.556,0.671,0.327,0.67
0.465,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.614,0.614,0.69,0.027,0.572,0.514,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.63,0.562,0.327,0.67
0.467,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.614,0.614,0.69,0.027,0.528,0.516,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.581,0.259,0.327,0.67
0.473,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.614,0.629,0.65,0.048,0.57,0.526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.528,0.427,0.327,0.67
0.48,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.629,0.629,0.65,0.048,0.616,0.516,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.467,0.433,0.5,0.5
0.488,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.629,0.629,0.65,0.048,0.598,0.538,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.699,0.541,0.5,0.5
0.497,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.629,0.629,0.65,0.048,0.556,0.514,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.263,0.41,0.674,0.5
0.919,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.571,0.571,0.82,0.034,0.486,0.527,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.332,0.323,0.164,0.698
0.922,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.571,0.571,0.82,0.034,0.543,0.51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.544,0.728,0.164,0.698
0.928,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.571,0.571,0.82,0.034,0.508,0.501,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.393,0.682,0.164,0.698
0.943,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.557,0.571,0.86,0.034,0.528,0.522,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.356,0.693,0.164,0.698
0.945,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.557,0.571,0.86,0.034,0.616,0.516,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.549,0.41,0.164,0.698
0.949,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.557,0.571,0.86,0.034,0.599,0.517,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.499,0.822,0.164,0.698
0.958,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.557,0.611,0.703,0.062,0.496,0.528,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.492,0.674,0.446,0.525
0.962,0.0,0.514,0.657,0.217,0.838,0.622,1,0.2,0.557,0.557,0.87,0.034,0.584,0.535,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.404,0.801,0.446,0.525
0.628,0.0,0.5,0.657,0.217,0.838,0.62,0,0.0,0.657,0.657,0.53,0.096,0.57,0.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.536,0.561,0.334,0.501
0.631,0.0,0.5,0.657,0.217,0.838,0.62,0,0.0,0.671,0.671,0.56,0.006,0.55,0.544,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.576,0.42,0.334,0.501
0.634,0.0,0.5,0.657,0.217,0.838,0.62,0,0.0,0.671,0.671,0.56,0.006,0.568,0.524,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.671,0.564,0.334,0.501
0.644,0.0,0.5,0.657,0.217,0.838,0.62,0,0.0,0.643,0.657,0.56,0.096,0.62,0.521,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.697,0.668,0.253,0.746
0.936,0.0,0.486,0.686,0.218,0.838,0.619,1,0.0,0.543,0.543,0.87,0.037,0.598,0.562,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.459,0.847,0.822,0.508
0.941,0.0,0.486,0.686,0.218,0.838,0.619,1,0.03,0.543,0.543,0.87,0.039,0.58,0.509,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.612,0.413,0.295,0.538
